Year,Contestant,Country,P1,P2,P3,P4,P5,P6,P7,Total,Rank,Award
1959,Bohuslav Diviš,Czechoslovakia,5.0,8.0,7.0,5.0,8.0,7.0,,40,1,Gold medal
1959,György Csanak,Hungary,,,,,,,,37,2,Gold medal
1959,Basarab Nicolescu,Romania,,,,,,,,37,2,Gold medal
1959,Gábor Halász,Hungary,,,,,,,,36,4,Silver medal
1959,Cristian Berthaler,Romania,,,,,,,,36,4,Silver medal
1959,Cezar Gheorghe,Romania,,,,,,,,36,4,Silver medal
1959,György Muszély,Hungary,,,,,,,,35,7,Bronze medal
1959,Virgil Brişcă,Romania,,,,,,,,35,7,Bronze medal
1959,Béla Bollobás,Hungary,,,,,,,,34,9,Bronze medal
1959,Andrei Tom,Union of Soviet Socialist Republics,,,,,,,,34,9,Bronze medal
1959,Mihail Vrăjitoru,Romania,,,,,,,,33,11,Bronze medal
1959,Viktor Fedorev,Union of Soviet Socialist Republics,,,,,,,,32,12,Honourable mention
1959,Domokos Szász,Hungary,,,,,,,,31,13,Honourable mention
1959,Ivan Titelnikov,Bulgaria,5.0,7.0,7.0,5.0,2.0,4.0,,30,14,Honourable mention
1959,Valeriy Frolov,Union of Soviet Socialist Republics,,,,,,,,30,14,Honourable mention
1959,Karel Šmuk,Czechoslovakia,,,,,,,,29,16,Honourable mention
1959,Jiří Moudrý,Czechoslovakia,,,,,,,,28,17,Honourable mention
1959,Jiří Votava,Czechoslovakia,,,,,,,,28,17,Honourable mention
1959,Viorel Barbu,Romania,,,,,,,,28,17,Honourable mention
1959,Zdislav Kovářík,Czechoslovakia,,,,,,,,25,20,Honourable mention
1959,Jan Tóke,Poland,,,,,,,,25,20,Honourable mention
1959,Ferenc Mezei,Hungary,,,,,,,,24,22,
1959,?,Romania,,,,,,,,23,23,
1959,Petr Balarev,Bulgaria,5.0,6.0,7.0,0.0,0.0,4.0,,22,24,
1959,?,Czechoslovakia,,,,,,,,21,25,
1959,Ambrus Tihanyi,Hungary,,,,,,,,21,25,
1959,?,Romania,,,,,,,,21,25,
1959,Ventseslav Andreichev,Bulgaria,5.0,4.0,5.0,5.0,0.0,1.0,,20,38,
1959,*,Poland,,,,,,,,20,28,
1959,Rafail Zlatarov,Bulgaria,2.0,5.0,7.0,1.0,2.0,2.0,,19,31,
1959,*,Poland,,,,,,,,19,29,
1959,*,Poland,,,,,,,,18,30,
1959,*,Poland,,,,,,,,16,32,
1959,Tsvetana Penkovska,Bulgaria,0.0,6.0,5.0,1.0,0.0,3.0,,15,33,
1959,Gyula Katona,Hungary,,,,,,,,15,33,
1959,Aleksander Chetajev,Union of Soviet Socialist Republics,,,,,,,,15,33,
1959,?,Czechoslovakia,,,,,,,,12,36,
