Contestant,Country,P1,P2,P3,P4,P5,P6,P7,Total,Rank,Award
Iosif Bernstein,Union of Soviet Socialist Republics,6,6,8,5,7,6,8,46,1,Gold medal
Gerzson Kéry,Hungary,,,,,,,,45,2,Gold medal
Lidia Goncarova,Union of Soviet Socialist Republics,,,,,,,,42,3,Gold medal
Zoltán Sebestyén,Hungary,,,,,,,,41,4,Gold medal
László Gálfi,Hungary,,,,,,,,39,5,Silver medal
József Kóta,Hungary,,,,,,,,39,5,Silver medal
Marcin Kuczma,Poland,,,,,,,,39,5,Silver medal
Gheorghe Eckstein,Romania,,,,,,,,39,5,Silver medal
Ferenc Szidarovszky,Hungary,,,,,,,,38,9,Silver medal
Aleksandru Buimovici,Romania,,,,,,,,38,9,Silver medal
Bojan Marinov Bonev,Bulgaria,6,6,8,5,7,4,1,37,11,Silver medal
Aleksei Potepun,Union of Soviet Socialist Republics,,,,,,,,37,11,Silver medal
Grigori Margulis,Union of Soviet Socialist Republics,,,,,,,,36,13,Silver medal
Peter Hatala,Czechoslovakia,6,6,8,4,7,4,0,35,14,Silver medal
George Lusztig,Romania,,,,,,,,35,14,Silver medal
Karl-Heinz Tetsch,German Democratic Republic,,,,,,,,34,16,Silver medal
Miroslav Svetoslav Tanusev,Bulgaria,6,6,4,5,6,4,2,33,17,Bronze medal
Jaroslav Ježek,Czechoslovakia,6,6,8,5,4,4,0,33,17,Bronze medal
Jacek Wołejszo,Poland,,,,,,,,33,17,Bronze medal
Bozidar Dimitrov Kacarov,Bulgaria,6,1,4,5,7,4,5,32,20,Bronze medal
András Benczúr,Hungary,,,,,,,,32,20,Bronze medal
Miklós Simonovits,Hungary,,,,,,,,32,20,Bronze medal
Jan Rempała,Poland,,,,,,,,32,20,Bronze medal
Lucian Bădescu,Romania,,,,,,,,32,20,Bronze medal
Florea Hantila,Romania,,,,,,,,32,20,Bronze medal
Genadi Kuranov,Union of Soviet Socialist Republics,,,,,,,,31,26,Bronze medal
Josef Daneš,Czechoslovakia,6,6,8,4,0,0,6,30,27,Bronze medal
Ewa Hensz,Poland,,,,,,,,30,27,Bronze medal
Radu Puha,Romania,,,,,,,,30,27,Bronze medal
Daniar Mustari,Union of Soviet Socialist Republics,,,,,,,,30,27,Bronze medal
Karel Veselý,Czechoslovakia,2,6,7,5,6,2,1,29,31,Bronze medal
Jan Żytkow,Poland,,,,,,,,28,32,
?,Romania,,,,,,,,28,32,
Nikola Vedelev,Bulgaria,6,3,0,5,7,4,1,26,34,
Milena Ivanova,Bulgaria,6,3,0,4,7,5,0,25,35,
Jan Novotný,Czechoslovakia,6,4,7,2,4,0,0,23,36,
Pavol Voda,Czechoslovakia,5,5,8,5,0,0,0,23,36,
András Gyárfás,Hungary,,,,,,,,23,36,
?,Romania,,,,,,,,23,36,
*,Union of Soviet Socialist Republics,,,,,,,,22,40,
*,German Democratic Republic,,,,,,,,21,41,
*,German Democratic Republic,,,,,,,,21,41,
*,German Democratic Republic,,,,,,,,21,41,
Marián Mešina,Czechoslovakia,1,4,6,4,5,0,0,20,44,
Paweł Gabryjańczyk,Poland,,,,,,,,20,44,
Svatopluk Fučík,Czechoslovakia,6,5,3,1,4,0,0,19,46,
*,Union of Soviet Socialist Republics,,,,,,,,19,46,
Walter Görgens,German Democratic Republic,,,,,,,,18,48,
*,German Democratic Republic,,,,,,,,18,48,
Paweł Urbański,Poland,,,,,,,,18,48,
Dimco Dimitrov,Bulgaria,6,5,0,2,0,0,2,15,51,
Dimitr Kasabov,Bulgaria,6,3,4,2,0,0,0,15,51,
*,German Democratic Republic,,,,,,,,14,53,
Garabed Minasiev,Bulgaria,6,2,0,4,0,1,0,13,54,
Jerzy Sztachelski,Poland,,,,,,,,11,55,
*,German Democratic Republic,,,,,,,,6,56,
