Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Hongyu He,People's Republic of China,7,7,7,7,7,7,42,1,Gold medal
Nicuşor Dan,Romania,7,7,7,7,7,7,42,1,Gold medal
Adrian Vasiu,Romania,7,7,7,7,7,7,42,1,Gold medal
Nicolai Filonov,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
Ngô Bào Châu,Vietnam,7,7,7,7,7,7,42,1,Gold medal
Xi Chen,People's Republic of China,7,7,6,7,7,7,41,6,Gold medal
Sergei Ivanov,Union of Soviet Socialist Republics,7,7,6,7,7,7,41,6,Gold medal
Ravi Vakil,Canada,7,7,7,7,5,7,40,8,Gold medal
Julien Cassaigne,France,7,7,7,7,7,5,40,8,Gold medal
Dimitri Tuliakov,Union of Soviet Socialist Republics,7,7,7,7,7,2,37,10,Gold medal
Dimitri Ivanov,Union of Soviet Socialist Republics,7,7,7,7,7,1,36,11,Gold medal
Thorsten Kleinjung,Germany,7,7,7,7,7,0,35,12,Gold medal
Terence Tao,Australia,7,5,7,7,7,1,34,13,Gold medal
Wolfgang Stöcher,Austria,7,4,4,7,4,7,33,14,Gold medal
Andreas Siebert,German Democratic Republic,7,7,7,7,4,1,33,14,Gold medal
Shoni Dar,Israel,7,7,6,7,4,1,32,16,Gold medal
Mats Persson,Sweden,7,7,4,7,7,0,32,16,Gold medal
Emanouil Atanassov,Bulgaria,7,3,0,7,7,7,31,18,"Silver medal, Special prize"
Martin Welk,German Democratic Republic,7,7,7,3,7,0,31,18,Silver medal
Martin Härterich,Germany,7,7,2,7,7,1,31,18,Silver medal
Grzegorz Zwara,Poland,7,7,7,7,0,3,31,18,Silver medal
Yuri Hohlov,Union of Soviet Socialist Republics,7,7,7,3,7,0,31,18,Silver medal
Jordan S. Ellenberg,United States of America,4,5,7,7,7,1,31,18,Silver medal
John Woo,United States of America,7,5,6,2,7,4,31,18,Silver medal
Eric Müller,Germany,7,7,1,7,7,1,30,25,Silver medal
Guoheng Wei,People's Republic of China,7,7,1,7,7,1,30,25,Silver medal
Gang Zou,People's Republic of China,7,7,1,7,7,1,30,25,Silver medal
Octavian Fărcăşanu,Romania,7,1,7,7,7,1,30,25,Silver medal
Andrei Rădulescu-Banu,Romania,7,7,6,7,2,1,30,25,Silver medal
Sergei Berlov,Union of Soviet Socialist Republics,7,7,2,7,7,0,30,25,Silver medal
Zvezdelina Stankova,Bulgaria,7,0,1,7,7,7,29,31,Silver medal
Jörg Eisfeld,Germany,7,7,6,2,7,0,29,31,Silver medal
Jianmei Wang,People's Republic of China,7,6,1,7,7,1,29,31,Silver medal
Yuhan Zha,People's Republic of China,7,7,1,7,7,0,29,31,Silver medal
Andrei Moroianu,Romania,7,7,7,7,1,0,29,31,Silver medal
Phan Phương Đạt,Vietnam,7,7,1,7,7,0,29,31,Silver medal
Trần Thanh Hai,Vietnam,7,7,1,7,7,0,29,31,Silver medal
Dobromir Dimitrov,Bulgaria,7,1,6,7,7,0,28,38,Silver medal
Petr Čížek,Czechoslovakia,7,7,7,1,5,1,28,38,Silver medal
Ilja Martišovitš,Czechoslovakia,7,7,7,0,7,0,28,38,Silver medal
Dirk Liebscher,German Democratic Republic,7,5,5,3,7,1,28,38,Silver medal
Florin Belgun,Romania,7,4,1,7,7,2,28,38,Silver medal
Hố Thanh Tung,Vietnam,7,6,1,7,7,0,28,38,Silver medal
Gerard Zenker,German Democratic Republic,7,7,2,7,4,0,27,44,Silver medal
Jens Petersen,Germany,7,7,7,6,0,0,27,44,Silver medal
Oliver Maxim Riordan,United Kingdom,7,7,1,7,4,1,27,44,Silver medal
Frank Göring,German Democratic Republic,7,7,2,3,7,0,26,47,Silver medal
Tamás Keleti,Hungary,7,7,1,4,7,0,26,47,Silver medal
Christian Pauly,Luxembourg,7,4,1,7,7,0,26,47,Silver medal
Samuel A. Kutin,United States of America,5,5,1,7,7,1,26,47,Silver medal
Trần Trong Hùng,Vietnam,7,4,1,7,7,0,26,47,Silver medal
Patrick Surry,Canada,7,3,1,7,7,0,25,52,Silver medal
Pierre Baumann,France,7,7,1,3,7,0,25,52,Silver medal
Yong Yeow Yeoh,Singapore,6,5,0,7,7,0,25,52,Silver medal
Gareth John McCaughan,United Kingdom,1,3,7,6,7,1,25,52,Silver medal
Guenter Schwarzbauer,Austria,7,4,5,1,7,0,24,56,Silver medal
David Wallace,New Zealand,4,7,7,0,6,0,24,56,Silver medal
Ngiap-Teng Ngan,Singapore,7,7,1,7,2,0,24,56,Silver medal
Tal Kubo,United States of America,7,5,1,7,4,0,24,56,Silver medal
Abdelmalek Abdesselam,Algeria,7,7,0,7,2,0,23,60,Silver medal
Dessislava Bakardzieva,Bulgaria,7,2,7,0,7,0,23,60,Silver medal
Gábor Drasny,Hungary,7,0,1,7,7,1,23,60,Silver medal
Amir Aalam Ghazanfarian,Islamic Republic of Iran,4,4,2,7,5,1,23,60,Silver medal
Malcolm J. Law,United Kingdom,5,7,2,1,7,1,23,60,Silver medal
Eric K. Wepsic,United States of America,7,7,7,0,1,1,23,60,Silver medal
Gudrun Hametner,Austria,5,2,1,7,7,0,22,66,Bronze medal
Colin Springer,Canada,7,7,1,6,1,0,22,66,Bronze medal
Bertrand Eynard,France,7,5,1,7,2,0,22,66,Bronze medal
Markus Lauer,Germany,7,7,2,2,4,0,22,66,Bronze medal
Nung-Kwan Yip,Hong Kong,7,0,1,7,7,0,22,66,Bronze medal
Young-Hoon Kiem,Republic of Korea,7,0,1,6,7,1,22,66,Bronze medal
Mattias Jonsson,Sweden,7,3,1,3,7,1,22,66,Bronze medal
Marc-Oliver Coppens,Belgium,4,5,0,7,5,0,21,73,Bronze medal
Pavol Gvozdjak,Czechoslovakia,4,7,7,3,0,0,21,73,Bronze medal
Stanislav Krajči,Czechoslovakia,7,7,2,2,3,0,21,73,Bronze medal
Mátyás Sustik,Hungary,1,5,1,7,7,0,21,73,Bronze medal
Mouaniss Belrhiti Alaoui,Morocco,7,0,1,7,0,6,21,73,Bronze medal
Harm Derksen,Netherlands,4,6,6,1,4,0,21,73,Bronze medal
Ahmed Abbes,Tunisia,7,4,0,3,7,0,21,73,Bronze medal
Tomaž Slivnik,Yugoslavia,7,7,0,4,3,0,21,73,Bronze medal
Rade Todorović,Yugoslavia,7,7,7,0,0,0,21,73,Bronze medal
Geoffrey Bailey,Australia,1,7,1,3,7,1,20,82,Bronze medal
Tibor Beke,Hungary,7,4,1,7,1,0,20,82,Bronze medal
Marc Pauly,Luxembourg,7,4,1,0,7,1,20,82,Bronze medal
Hamou H. Tarik,Morocco,5,0,1,7,7,0,20,82,Bronze medal
Colin Bell,United Kingdom,1,7,7,0,5,0,20,82,Bronze medal
Fábio Enrique Brochero Martínez,Colombia,3,6,1,6,2,1,19,87,Bronze medal
Christos Athanasiadis,Greece,7,0,0,7,5,0,19,87,Bronze medal
Arash Hassibi,Islamic Republic of Iran,5,6,2,0,6,0,19,87,Bronze medal
Yoav Yaffe,Israel,4,7,0,7,0,1,19,87,Bronze medal
Jeroen Paasschens,Netherlands,7,7,1,0,4,0,19,87,Bronze medal
Christopher Ray Nash,United Kingdom,7,7,1,1,1,2,19,87,Bronze medal
Rastko Marinković,Yugoslavia,1,7,1,3,7,0,19,87,Bronze medal
Kamen Alexiev,Bulgaria,7,3,1,0,7,0,18,94,Bronze medal
Carlos Thompson,Colombia,6,7,5,0,0,0,18,94,Bronze medal
Erez Lapid,Israel,0,4,0,7,7,0,18,94,Bronze medal
Alain Knaff,Luxembourg,6,7,1,1,3,0,18,94,Bronze medal
Hock-Peng Chan,Singapore,1,7,1,7,1,1,18,94,Bronze medal
Ozan Hafızoğulları,Turkey,7,2,1,0,7,1,18,94,Bronze medal
Deniz Yuret,Turkey,3,7,1,0,7,0,18,94,Bronze medal
Hubert L. Bray,United States of America,4,2,1,7,1,3,18,94,Bronze medal
Shu Hung Choy,Hong Kong,3,0,1,5,7,1,17,102,Bronze medal
Gadi Kozma,Israel,2,7,1,5,1,1,17,102,Bronze medal
Elon Lindenstrauss,Israel,3,5,1,7,0,1,17,102,Bronze medal
Andrea Maffei,Italy,7,3,1,0,6,0,17,102,Bronze medal
Francis M. Valeriano C.,Peru,7,3,0,0,6,1,17,102,Bronze medal
Patrik Andersson,Sweden,3,0,7,7,0,0,17,102,Bronze medal
Daniel Bertilsson,Sweden,7,3,0,7,0,0,17,102,Bronze medal
Imed Gharbi,Tunisia,6,4,0,0,7,0,17,102,Bronze medal
Khadheur Karray,Tunisia,5,5,0,7,0,0,17,102,Bronze medal
Stéphane Guillermou,France,7,4,0,0,5,0,16,111,Bronze medal
Ali Reza Bigdeli,Islamic Republic of Iran,7,0,1,1,7,0,16,111,Bronze medal
Miek Dekeyser,Belgium,4,6,4,0,1,0,15,113,Bronze medal
Nicolas Maskens,Belgium,2,5,2,1,5,0,15,113,Bronze medal
Plamen Iliev,Bulgaria,7,0,1,0,7,0,15,113,Bronze medal
David McKinnon,Canada,1,6,1,0,7,0,15,113,Bronze medal
Matti Juhani Lassas,Finland,1,5,1,1,7,0,15,113,Bronze medal
Tommi V. Timonen,Finland,1,7,0,0,7,0,15,113,Bronze medal
Guðbjörn Freyr Jónsson,Iceland,7,0,0,1,7,0,15,113,Bronze medal
Antonio Peimbert Torres,Mexico,7,0,5,0,0,3,15,113,Bronze medal
Ki Hong Kim,Republic of Korea,4,7,0,0,4,0,15,113,Bronze medal
Bok Gi Kim,Republic of Korea,4,0,3,0,7,1,15,113,Bronze medal
Kok-Wui Cheong,Singapore,7,0,0,0,7,1,15,113,Bronze medal
Germán Rincón,Colombia,7,0,0,0,7,0,14,124,Bronze medal
Denis Lallemand,France,7,4,0,3,0,0,14,124,Bronze medal
Mohammad Ali Khojastepur,Islamic Republic of Iran,5,1,2,3,2,1,14,124,Bronze medal
Richard Huveneers,Netherlands,1,0,7,6,0,0,14,124,Bronze medal
Lars Willför,Sweden,0,7,0,0,7,0,14,124,Bronze medal
Alper Halbutoğulları,Turkey,7,3,1,0,3,0,14,124,Bronze medal
Riste Škrekovski,Yugoslavia,7,0,1,0,6,0,14,124,Bronze medal
David Jackson,Australia,5,5,1,2,0,0,13,131,
Martin O'Hely,Australia,5,3,1,2,1,1,13,131,
Lenilson Barreira de Morais,Brazil,0,5,1,7,0,0,13,131,Honourable mention
Romano Lonardoni,Italy,0,7,6,0,0,0,13,131,Honourable mention
Beljadid Lahcen,Morocco,7,0,1,0,5,0,13,131,Honourable mention
Joris van der Hoeven,Netherlands,4,5,1,0,3,0,13,131,
Victor Luchangco,Philippines,1,4,1,0,7,0,13,131,Honourable mention
Fernando Martinez Puente,Spain,2,7,0,1,2,1,13,131,Honourable mention
Daniel Lindhardt,Sweden,1,4,1,0,7,0,13,131,Honourable mention
Markus Greiter,Austria,2,7,1,0,2,0,12,140,Honourable mention
Markus Haiml,Austria,6,3,1,0,2,0,12,140,
Ondrej Šuch,Czechoslovakia,4,0,7,1,0,0,12,140,Honourable mention
Luis O'Shea,Ireland,4,5,0,1,2,0,12,140,
Ariel Shkolnikov,Israel,2,7,2,1,0,0,12,140,Honourable mention
Edvard Del Carpio Talaverano,Peru,2,1,1,1,7,0,12,140,Honourable mention
Grzegorz Łabędzki,Poland,0,7,1,3,0,1,12,140,Honourable mention
Ramon Esteban Romero,Spain,6,2,1,0,2,1,12,140,
Imed Hkima,Tunisia,4,3,0,3,1,1,12,140,
Đoàn Hồng Nghiã,Vietnam,4,1,1,5,1,0,12,140,
Horacio Casini,Argentina,7,0,1,0,3,0,11,150,Honourable mention
Martin Bush,Australia,1,7,1,0,1,1,11,150,Honourable mention
